backend,specimen,anatomy,method,condition,level,draw,retention,virtual_target_rms_displacement_mm,registration_recall,rotation_error_deg,translation_error_mm,registration_only_seconds,fitness,error
,specimen01,tibia,raw,20deg_20mm,3,0,,0.6645865611326703,1.0,1.1568037349472606,0.6775908959197425,0.15535841599921696,0.9853333333333333,
,specimen01,tibia,raw,20deg_20mm,3,1,,26.650047940496393,0.0,8.211632148535406,14.247707864774817,0.3205016589781735,0.7123333333333334,
,specimen01,tibia,raw,20deg_20mm,3,2,,26.650640901015286,0.0,8.21521004989155,13.19942612747588,0.3214455010020174,0.7123333333333334,
,specimen01,tibia,raw,20deg_20mm,3,3,,0.6645865611326462,1.0,1.1568037349478908,0.7039305245891408,0.17390602600062266,0.9853333333333333,
,specimen01,tibia,raw,20deg_20mm,3,4,,0.6645865611326487,1.0,1.1568037349504114,0.48955010731774135,0.14523293398087844,0.9853333333333333,
,specimen01,tibia,all_refined,aligned,0,0,1.0,0.7846472513563193,1.0,1.2119846638717306,0.6501190632674227,0.08141070700366981,0.9846666666666667,
,specimen01,tibia,all_refined,5deg_5mm,1,0,1.0,0.784647251356405,1.0,1.2119846638717306,0.6199560444892563,0.11470990101224743,0.9846666666666667,
,specimen01,tibia,all_refined,5deg_5mm,1,1,1.0,0.7846472513563524,1.0,1.211984663869926,0.6542646076165405,0.08227337701828219,0.9846666666666667,
,specimen01,tibia,all_refined,5deg_5mm,1,2,1.0,0.7846472513563185,1.0,1.2119846638723322,0.635566812174464,0.08602698001777753,0.9846666666666667,
,specimen01,tibia,all_refined,5deg_5mm,1,3,1.0,0.784647251356384,1.0,1.2119846638705276,0.6281547046067705,0.11765344900777563,0.9846666666666667,
,specimen01,tibia,all_refined,5deg_5mm,1,4,1.0,0.7846472513562998,1.0,1.2119846638717306,0.6414297653380145,0.08377662999555469,0.9846666666666667,
,specimen01,tibia,all_refined,10deg_10mm,2,0,1.0,26.849689010566237,0.0,9.967860029364203,16.821844020180674,0.32367984199663624,0.7055,
,specimen01,tibia,all_refined,10deg_10mm,2,1,1.0,0.7846472513563233,1.0,1.2119846638723322,0.7253928724897687,0.08842006302438676,0.9846666666666667,
,specimen01,tibia,all_refined,10deg_10mm,2,2,1.0,0.7846472513564009,1.0,1.2119846638687233,0.7340004992689483,0.12007693501072936,0.9846666666666667,
,specimen01,tibia,all_refined,10deg_10mm,2,3,1.0,0.7846472513563639,1.0,1.2119846638711291,0.6389610268010588,0.11874372101738118,0.9846666666666667,
,specimen01,tibia,all_refined,10deg_10mm,2,4,1.0,0.7846472513563776,1.0,1.2119846638711291,0.6742710779712676,0.11579884501406923,0.9846666666666667,
,specimen01,tibia,all_refined,20deg_20mm,3,0,1.0,0.7846472513563479,1.0,1.211984663869926,0.7917465290155783,0.12313208100385964,0.9846666666666667,
,specimen01,tibia,all_refined,20deg_20mm,3,1,1.0,26.8496890105663,0.0,9.967860029364129,14.851444939405805,0.3248217809887137,0.7055,
,specimen01,tibia,all_refined,20deg_20mm,3,2,1.0,26.848118632639732,0.0,9.986370870032474,12.742380888773399,0.32199150798260234,0.7053333333333334,
,specimen01,tibia,all_refined,20deg_20mm,3,3,1.0,0.7846472513563384,1.0,1.2119846638717306,0.8120116724682511,0.13861464700312354,0.9846666666666667,
,specimen01,tibia,all_refined,20deg_20mm,3,4,1.0,0.7846472513563751,1.0,1.2119846638711291,0.6343126976631236,0.12239461499848403,0.9846666666666667,
,specimen01,tibia,random_policy,aligned,0,0,0.9,0.7884040507427819,1.0,1.2477586554543512,0.6378816629429527,0.0991709319932852,0.988,
